transaction_id,date,vendor,category,amount,subtotal,tax_amount,invoice_number,is_seeded_anomaly
330,2026-06-02,Metro Facilities,Facilities,538.24,487.63,50.61,FAC00331,False
331,2026-01-05,Pioneer Legal,Professional Services,986.17,895.48,90.69,PS00332,False
332,2026-04-24,Oak & Stone Consulting,Professional Services,1012.13,933.78,78.35,PS00333,False
333,2026-06-20,Hearth & Stone,Facilities,689.69,627.82,61.87,FAC00334,False
334,2026-06-11,Cloudpeak,Software,137.3,127.32,9.98,SW00335,False
335,2026-02-17,Pioneer Legal,Professional Services,831.1,771.01,60.09,PS00336,False
336,2026-01-20,Summit Airways,Travel,1080.13,992.99,87.14,TRV00337,False
337,2026-09-08,Metro Facilities,Facilities,222.56,203.33,19.23,FAC00338,False
338,2026-02-09,Summit Airways,Travel,1040.02,952.17,87.85,TRV00339,False
339,2026-03-28,Verve Strategy,Professional Services,632.45,585.09,47.36,PS00340,False
340,2026-04-04,Harbor & Pine Travel,Travel,820.69,756.47,64.22,TRV00341,False
341,2026-05-01,Summit Stationery,Office Supplies,241.74,217.64,24.1,OFF00342,False
342,2026-04-19,Harbor & Pine Travel,Travel,464.51,425.24,39.27,TRV00343,False
343,2026-04-27,Brightline Advisory,Professional Services,579.45,526.74,52.71,PS00344,False
344,2026-02-08,Summit Stationery,Office Supplies,97.38,89.74,7.64,OFF00345,False
345,2026-03-31,Compass Transit,Travel,498.95,435.73,63.22,TRV00346,False
346,2026-06-10,Harbor & Pine Travel,Travel,1442.59,1284.65,157.94,TRV00347,False
347,2026-08-21,Hearth & Stone,Facilities,671.36,608.64,62.72,FAC00348,False
348,2026-07-03,Metro Facilities,Facilities,407.76,370.57,37.19,FAC00349,False
349,2026-05-25,Summit Stationery,Office Supplies,197.17,183.34,13.83,OFF00350,False
350,2026-02-12,Metro Facilities,Facilities,663.47,590.46,73.01,FAC00351,False
351,2026-08-21,Metro Facilities,Facilities,316.99,289.91,27.08,FAC00352,False
352,2026-06-10,Pioneer Legal,Professional Services,582.13,538.09,44.04,PS00353,False
353,2026-02-04,Brightline Advisory,Professional Services,411.94,371.8,40.14,PS00354,False
354,2026-01-05,Hearth & Stone,Facilities,485.67,446.07,39.6,FAC00355,False
355,2026-07-31,Brightline Advisory,Professional Services,651.93,606.11,45.82,PS00356,False
356,2026-09-20,Summit Airways,Travel,455.48,396.93,58.55,TRV00357,False
357,2026-03-02,Pioneer Legal,Professional Services,639.79,592.33,47.46,PS00358,False
358,2026-06-05,Cedar Works,Facilities,478.46,438.69,39.77,FAC00359,False
359,2025-12-21,Northline Maintenance,Facilities,506.58,468.22,38.36,FAC00360,False
360,2026-08-23,AeroRoute,Travel,976.52,881.6,94.92,TRV00361,False
361,2026-07-13,Cloudpeak,Software,101.89,95.42,6.47,SW00362,False
362,2026-04-18,Cloudpeak,Software,205.41,188.86,16.55,SW00363,False
363,2026-09-16,NovaStack,Software,114.04,103.96,10.08,SW00364,False
364,2026-09-19,Northwind Office,Office Supplies,209.91,191.98,17.93,OFF00365,False
365,2026-02-13,Metro Facilities,Facilities,256.04,233.94,22.1,FAC00366,False
366,2026-02-16,Lark & Ledger,Office Supplies,227.35,209.79,17.56,OFF00367,False
367,2026-02-28,Brightline Advisory,Professional Services,441.83,406.81,35.02,PS00368,False
368,2026-04-09,Brightline Advisory,Professional Services,569.25,528.81,40.44,PS00369,False
369,2026-06-13,Verve Strategy,Professional Services,895.1,808.8,86.3,PS00370,False
370,2026-02-26,Cedar Works,Facilities,256.04,227.92,28.12,FAC00371,False
371,2026-03-14,Pioneer Legal,Professional Services,855.81,796.0,59.81,PS00372,False
372,2026-02-01,Lark & Ledger,Office Supplies,221.46,198.83,22.63,OFF00373,False
373,2026-05-14,Brightline Advisory,Professional Services,979.51,890.48,89.03,PS00374,False
374,2026-04-15,Hearth & Stone,Facilities,359.95,325.67,34.28,FAC00375,False
375,2026-05-29,Redwood Print House,Office Supplies,164.38,147.34,17.04,OFF00376,False
376,2026-07-20,Metro Facilities,Facilities,525.95,482.78,43.17,FAC00377,False
377,2026-07-26,Hearth & Stone,Facilities,705.25,626.39,78.86,FAC00378,False
378,2026-04-06,Lark & Ledger,Office Supplies,205.2,183.32,21.88,OFF00379,False
379,2026-01-14,AeroRoute,Travel,717.3,652.16,65.14,TRV00380,False
380,2026-06-03,Bluebird Apps,Software,241.57,225.33,16.24,SW00381,False
381,2026-07-19,AeroRoute,Travel,711.01,631.4,79.61,TRV00382,False
382,2026-09-06,Verve Strategy,Professional Services,592.85,542.63,50.22,PS00383,False
383,2026-05-05,Redwood Print House,Office Supplies,82.87,74.44,8.43,OFF00384,False
384,2026-08-08,Metro Facilities,Facilities,609.94,545.81,64.13,FAC00385,False
385,2026-02-28,Summit Airways,Travel,1196.93,1048.1,148.83,TRV00386,False
386,2026-05-19,AeroRoute,Travel,997.49,909.99,87.5,TRV00387,False
387,2025-12-27,Cloudpeak,Software,230.66,212.51,18.15,SW00388,False
388,2026-09-01,Summit Airways,Travel,730.01,649.0,81.01,TRV00389,False
389,2026-02-13,Cloudpeak,Software,265.6,247.3,18.3,SW00390,False
390,2026-09-09,SignalForge,Software,87.71,80.68,7.03,DUP00391,True
391,2026-05-07,Verve Strategy,Professional Services,611.36,569.11,42.25,DUP00392,True
392,2026-07-22,Metro Facilities,Facilities,525.95,482.78,43.17,DUP00393,True
393,2026-08-04,Cedar Works,Facilities,1136.97,1048.38,88.59,OUT00001,True
394,2026-01-22,AeroRoute,Travel,2337.09,2153.63,183.46,OUT00002,True
395,2026-05-14,Northwind Office,Office Supplies,1285.9,1167.36,118.54,OUT00003,True
396,2026-08-19,Oak & Stone Consulting,Professional Services,4735.59,4310.92,424.67,OUT00004,True
397,2026-07-01,Cloudpeak,Software,100.29,81.82,7.52,ERR00001,True
398,2026-01-31,Harbor & Pine Travel,Travel,563.83,493.87,50.93,ERR00002,True
399,2026-08-19,Cedar Works,Facilities,464.75,408.55,37.11,ERR00003,True
